id,category,content,is_reverse_scored
763b4227-aa00-4a2d-b8bb-27520d5a0e9c,개방성,변화하는 최신 트렌드를 내 업무에 도입한다.,false
27a6d1db-fc5d-4489-88cd-4a2f48ed0fbe,개방성,변화가 필요한 상황에서도 기존 방식을 고수한다.,true
c1afc799-74d6-4957-9d29-37ec304aede5,개방성,기존 방식에 얽매이지 않고 업무를 처리한다.,false
fe07393d-6911-49ac-94a7-a5b4c4c0229a,개방성,새로운 방식을 적용하여 업무를 처리한다.,false
f613426c-5ad2-47f6-9829-80c19373fb57,개방성,주변 환경의 변화를 거부감 없이 받아들인다.,false
397aa776-3124-4a7c-b5c6-66984ce04cf3,개선성,원활한 업무 처리를 위해 미흡한 점을 보완한다.,false
25e8b982-b09f-4848-9308-13b5879b9359,개선성,업무 효율을 높이는 구체적인 방안을 실행한다.,false
72e3c95d-6ea7-4f05-a3bd-ddc18c6aaa45,개선성,기존보다 더 나은 성과를 위해 업무 방식을 최적화한다.,false
eaf7a7ef-a926-491d-b229-ea56d9e04e30,개선성,불편한 점이 있어도 개선하지 않고 그대로 둔다.,true
e84fbd66-1c1f-4cda-9cde-6d4e0f09a751,개선성,업무 수행 중 발생하는 비효율적인 요소를 개선한다.,false
7b8f8415-2d35-4772-905b-07caaa954eb1,객관성,객관적인 시각으로 특정 현상을 바라본다.,false
cf64e0e4-e468-4cdd-8af1-6646bc411d8d,객관성,의사결정 시 객관적 사실보다 주관적 견해를 우선한다.,true
decf9d7f-38da-4985-b652-0992cc4ceae9,객관성,객관적 근거를 바탕으로 의견을 제안한다.,false
becf9fe2-a4a1-4351-bf64-a9ff86efa600,객관성,어떤 상황에서도 객관적인 태도를 유지한다.,false
250b6e12-e8ec-4723-8d95-aa58de48cca5,객관성,의사결정 시 주관적인 판단을 배제한다.,false
4dea0157-0e56-4e17-a7c5-fc73381ce867,거시성,업무 시작 전 전체적인 과정을 먼저 이해한다.,false
60fdcaf3-f1ad-4957-82e0-eed342516eca,거시성,업무 수행 시 전체적인 맥락을 먼저 파악한다.,false
6bf2805e-6014-4470-9b84-5296fbe7bbdb,거시성,현상을 이해할 때 단편적인 사례만으로 전체를 판단한다.,true
b7aefa32-ab0e-43b2-b4b4-134a68ed8277,거시성,큰 그림보다 세부적인 사항들을 먼저 살펴본다.,true
528c0b5b-bda3-4844-a25b-f65e1ae875ae,거시성,문서의 전체적인 흐름을 먼저 파악한다.,false
20031fe9-6aea-46dc-a689-eeaad96e382d,거짓말,밤을 새어도 피곤함을 느낀 적이 없다.,false
ef509cdf-bc86-4365-8cbf-0acf8fdd5fc7,거짓말,다른 사람에게 화를 낸 적이 한 번도 없다.,false
42da22bf-788c-43ef-8f7f-68fc1bf91a17,거짓말,일상 생활에서 외로움을 느껴본 적이 없다.,false
0136e253-d7a2-42ce-9b2a-38c8ee5b07d6,거짓말,내 주변의 모든 사람과 친하게 지낸다.,false
971b577d-067c-45df-a7ad-d4c68411660e,거짓말,살아오면서 다른 사람의 도움을 받은 적이 없다.,false
e7c7a7ac-7171-46b1-ae99-1d85bd8f6ae0,겸손성,불필요한 상황에서 나의 성과를 내세우지 않는다.,false
e540fd11-14bb-40f2-95a3-177a936ab266,겸손성,작은 성과라도 타인에게 알리려 한다.,true
0157ed5e-a5d8-4473-b055-3859d052ca7c,겸손성,상황에 관계없이 나의 성과를 드러낸다.,true
